,시가,고가,저가,종가,등락률,기관,프로그램
123,54400.0,55000.0,54300.0,54700.0,1.67,2163330.0,408064.0
124,53700.0,53800.0,53200.0,53800.0,0.75,-1611705.0,283884.0
125,53300.0,53800.0,53100.0,53400.0,1.33,1102235.0,1374210.0
126,53100.0,53200.0,52300.0,52700.0,-0.19,-3596592.0,1090592.0
127,53200.0,53600.0,52800.0,52800.0,-0.38,-2283249.0,-225137.0
128,53600.0,53900.0,52900.0,53000.0,-0.75,-1497777.0,-2154153.0
129,55800.0,55900.0,53400.0,53400.0,-2.91,-4064374.0,-1720862.0
130,54000.0,55000.0,53800.0,55000.0,2.61,4362954.0,847223.0
131,53000.0,53600.0,52700.0,53600.0,1.32,991665.0,1135592.0
132,52100.0,52900.0,52100.0,52900.0,0.57,-470182.0,861247.0
133,53400.0,53600.0,52400.0,52600.0,-0.38,427136.0,579607.0
134,53900.0,53900.0,52800.0,52800.0,0.76,1240703.0,-1724034.0
135,52500.0,53200.0,52000.0,52400.0,-1.69,-884248.0,-1622307.0
136,52800.0,53900.0,52200.0,53300.0,2.7,1444962.0,-597528.0
